,Dining Hall,Meal Period,Station,Dish,Serving Size,Calories (kcal),Total Lipid/Fat (g),Saturated fatty acid (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Total Dietary Fiber (g),Sugar (g),Added Sugar (g),Protein (g),Vitamin A (iu),Vitamin C (mg),Calcium (mg),Iron (mg),Vitamin A (rae),Phosphorus (mg),Potassium (mg),Vitamin D(iu),Allergens,Ingredients
Frary_Dinner_Vegan Poke Bowl,Frary,Dinner,Expo Station,Vegan Poke Bowl,380.00 EA,548.17,29.57,4.42,NA,NA,2326.04,61.76,10.71,9.91,NA,13.99,3325.78,16.06,94.98,3.44,70.23,0,N/A,N/A,"Soy, Wheat, Sesame","Avocado, Red Beets, Seaweed, Agar-Agar, Vegetable Oil (Sesame Oil, Poppy Seed Oil), High Fructose Corn Syrup, Sugar, Sesame Seed, Salt, Vinegar, Maltose Syrup, Mushrooms, Hidrolyzed Vegetable Protein ( Water, Corn, Soybeans, Wheat), Red Pepper, Glucose, Artificial Color, Enriched Flour (Wheat Flour, Enzyme, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Vegetable Oil (Soybean And/Or Cottonseed Oil), Water, Cornstarch, Salt, Sodium Benzoate (Preservative), Sugar, Soy Extract (Water, Salt, Soybeans, Wheat), Water, Salt, Caramel Color, Sodium Benzoate As A Preservative, Citric Acid, Xantham Gum, Vegan Mayonnaise (Soy Milk, Expeller Pressed Soybean Oil, Vinegar, Salt, Dried Cane Syrup, Natural Flavors, Mustard Flour, Xanthan Gum, Guar Gum, Sodium Alginatge, Lemon Juice Concentrate, Turmeric, Paprika, Spice, Garlic Powder, Vitamin B12), Water, Carrot, Cucumber, Mescaline Spring Mix, White Scented Jasmine Rice, Soy Sauce (Water, Whole Soybeans (OCIA Certified), Salt, Alcohol (To Preserve Freshness)., Chili, Sugar, Salt, Garlic, Distilled Vinegar, Potassium Sorbate, Sodium Bisulfite As Preservatives And Xanthan Gum. Contains Sulphite, Scallions, Sesame Seeds, Mirin (Glucose Syrup, Water, Alcohol, Rice, Corn Syrup, Salt), Sesame Seeds, Rice Wine Vinegar, Sugar, Salt, Potassium Metabisulfite (As A Preservative)"
Frary_Dinner_Cheese Pizza,Frary,Dinner,Pizza,Cheese Pizza,78.00 PIZ,166.8,6.12,2.83,NA,17.57,495.3,19.28,1.24,1.53,NA,9.07,224.75,1.19,186.44,1.3,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Parmesan Cheese (Pasteurized Cow`s Milk, Cultures, Enzymes, Salt, Cellulose)"
Frary_Dinner_Pepperoni Pizza,Frary,Dinner,Pizza,Pepperoni Pizza,117.00 PIZ,252.57,10.19,4.28,0,27.71,761.15,28.63,1.86,2.24,NA,12.16,276.17,1.79,206.57,1.88,0,0,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup, Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme), Low Moisture Part Skim Mozzarella Cheese (Cultured Pasteurized Part Skim Milk, Skim Milk, Salt, Enzymes, Powdered Cellulose Added To Prevent Caking, Natamycin Preservative), Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid, Pork, Beef, Salt, Contains 2% Or Less Of Water, Spice, Seasoning (Cane Sugar, Celery Juice Powder), Seasoning (Extractives Of Paprika, Natural Spice Extractives), Lactic Acid Starter Culture, Mustard Present. No Nitrites Or Nitrates Added Except For Those Naturally Occurring In Natural Flavoring"
Frary_Dinner_Bacon Western Cheeseburger Pizza,Frary,Dinner,Pizza,Bacon Western Cheeseburger Pizza,144.37 SERV,388.02,19.43,8.17,0.28,54.5,910.88,36.38,1.44,11.41,NA,17.51,420.43,3.32,175.67,2.22,60.7,1.12,N/A,N/A,"Milk, Soy, Wheat","Pizza Dough (Enriched Unbleached Wheat Flour, Water, Yeast, High Fructose Corn Syrup,Salt, Soybean Oil, Wheat Gluten, Ascorbic Acid, Enzyme);Mild Cheddar Cheese (Cultured pasteurized milk, salt, enzymes, annatto (color)), Corn Starch, Potato Starch and Powdered cellulose (to prevent caking), Natamycin (natural mold inhibitor);Beef;High fructose corn syrup, distilled vinegar, tomato paste, modified food starch Contains 2% or less of: Salt, pineapple juice concentrate, natural smoke flavor, spices, caramel color, sodium benzoate as a preservative, molasses, corn syrup, garlic, sugar, tamarind, natural flavor. dried;Tomato Puree (Water, Tomato Paste), Less Than 2% Of: Salt, Extra Virgin Olive Oil, Dried Onions, Garlic, Spices, Citric Acid.;Pork Cured with Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey;Onion Ring (Onions, Water, Bleached Wheat Flour, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Yellow Corn Flour, Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Potato Starch. Contains 2% or less of Dextrose, Natural Flavor, Salt, Whey, Yeast.);Canola Oil;Kosher Salt;Black Pepper;Onion Powder;Garlic;"
Frary_Dinner_VEGAN BAR (name only),Frary,Dinner,Pizza,VEGAN BAR (name only),1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
"Frary_Dinner_Vegan ""Meatballs"" (plain)",Frary,Dinner,Pizza,"Vegan ""Meatballs"" (plain)",85.00 FHP2,141.67,5.67,0,0,0,368.33,9.44,3.77,0.94,NA,16.06,94.44,1.13,56.67,2.55,0,0,N/A,N/A,"Soy, Wheat","Meatless Meatballs (Water, Soy Protein Concentrate, Expeller Pressed Canola Oil, Vital Wheat Gluten, Soy Protein Isolate, Enriched Wheat Flour (Wheat Flour, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, folic Acid), Methylcellylose, Spices, Yeast Extract, Onion Powder, Sea Salt, Organic Cane Sugar, Malted Barley Extract, Dehydrated Onion, Dehydrated Garlic, Natural Flavors (from plant sources), Garlic Powder, White Distilled Vinegar, Pea Protein, Carrot Fiber, Beetroot Fiber, Molasses, Wheat Starch, Soy Lecithin, Paprika and Turmeric Extracts, Annatto Extract);"
"Frary_Dinner_Vegan ""Chicken"" Nuggets",Frary,Dinner,Pizza,"Vegan ""Chicken"" Nuggets",96.00 FHP2,178.88,7.95,0,0,0,298.14,19.88,3.98,0,NA,11.92,0,0,79.51,2.86,0,0,N/A,N/A,"Soy, Wheat","Rehydrated soy protein concentrate, wheat flour, cellulose gum, hydrolyzed vegetable protein, sugar, dextrose, onion powder, spices. Coated with: Water, Breadcrumbs (wheat flour, water, salt, soybean oil, yeast, paprika, annatto). wheat flour, spices, xanthan gum.;"
Frary_Dinner_Pasta/Cooked/Penne,Frary,Dinner,Pizza,Pasta/Cooked/Penne,85.00 FHP2,141.78,2.31,0.13,0.01,0.3,26.39,24.74,1.21,1.21,NA,4.22,0,0,1.5,1.09,0,0,N/A,N/A,Wheat,"Water, Rigate (Semolina, Niacin, Ferrous Sulfate (Iron), Thiamine Mononitrate, Riboflavin, Folic Acid), Canola Oil, Kosher Salt"
Frary_Dinner_Barley/Cooked,Frary,Dinner,Pizza,Barley/Cooked,85.00 HHP2,72.29,0.24,0.05,NA,0,4.43,15.96,3.2,0.16,NA,2.04,4.52,0,7.89,0.51,57.5,0,N/A,N/A,Wheat,"Water, Barley"
Frary_Dinner_Vegan Bolognese,Frary,Dinner,Pizza,Vegan Bolognese,117.00 GAL,70.4,1.93,0.16,NA,0,499.83,10.71,2.68,5.83,NA,2.39,309.92,8.89,41.18,1.03,26.46,0.26,N/A,N/A,Soy,"Tomato Puree, (Water, Tomato Paste), Tomatoes, High Fructose Corn Syrup, Less Than 2% Of: Extra Virgin Olive Oil, Garlic Powder, Salt, Corn Syrup, Dried Onions, Lemon Juice, Spices, Citric Acid, Xanthan Gum, Natural Flavor, Wine, Salt, Contains 1% Or Less Of Each Of The Following: Malic Acid, Potassium Metabisulfite (Preservative)., Soyrizo (Water, Textured Soy Protein (Soy Flour), Distilled Vinegar, Seasoning Blend (Spices, Salt, Dextrose, Paprika, Onion Powder, Garlic Powder) Soybean Oil, Caramel Color, Salt, Xanthan Gum, Extractives Of Paprika), Garlic, Tomato, Mushroom, White Onion, Extra Virgin Olive Oil, Kosher Salt, Thyme, Black Pepper, Basil"
Frary_Dinner_Roasted Red Bell Peppers and Onions,Frary,Dinner,Pizza,Roasted Red Bell Peppers and Onions,125.37 SERV,117.759,8.80338,0.675371,0.034282,0,189.008,9.15068,2.24538,4.90326,NA,1.23765,1727.87,74.8936,18.8737,0.386263,1.54E-09,1.54E-09,N/A,N/A,,Red Bell Pepper;White Onion;Canola Oil;Kosher Salt;Black Pepper;
Frary_Dinner_Burrito Bar - DESCRIPTION ONLY,Frary,Dinner,Grill Station,Burrito Bar - DESCRIPTION ONLY,1.00 EA,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Frary_Dinner_Adobo Chicken,Frary,Dinner,Grill Station,Adobo Chicken,255.00 FHP2,766.33,33.54,7.27,0.09,432.16,2675.53,11.95,2.51,1.6,NA,92.07,535.49,6.6,133.36,7.49,69.13,0,N/A,N/A,,"Chicken Skinless Thigh, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Wine, Salt, Contains 1% Or Less Of Each Of The Following: Malic Acid, Potassium Metabisulfite (Preservative), Garlic, Kosher Salt, Water, Tomato Paste, Dried Chipotle Peppers, Distilled Vinegar, Corn Oil, Contains 2% Or Less Of: Iodized Salt, Corn Starch, Onion Powder, Garlic Powder, Spices, Black Pepper, Thyme Leaves, Cumin, Dried Oregano, Paprika,"
Frary_Dinner_Carnitas,Frary,Dinner,Grill Station,Carnitas,85.00 FHP2,495.75,49.31,7.02,0.15,57.84,470.24,0.35,0.08,0.1,NA,14.51,82.18,1.19,15.56,0.83,0,0,N/A,N/A,,"Pork, Canola Oil, Water, Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor), Concentrated Orange Juice, Filtered Water, Lemon Juice, Onion Powder, Paprika, Garlic, Ground Cayenne Pepper, Classic Coke Syrup"
Frary_Dinner_Refried Beans,Frary,Dinner,Grill Station,Refried Beans,85.00 FHP2,124.52,0.03,0.01,NA,0,180.75,44.5,27.41,2.5,NA,13.81,5.89,2.12,84.18,5.32,6.98,0,N/A,N/A,,"Pinto Beans, White Onion, Garlic, Jalapeno, Kosher Salt, White Pepper"
Frary_Dinner_Mexican Rice,Frary,Dinner,Grill Station,Mexican Rice,85.00 FHP2,108.34,0.22,0.03,NA,0,161.91,23.99,0.19,0.39,NA,2.08,21.55,0.88,3.17,0.35,0.88,0,N/A,N/A,Soy,"Water, Calrose Rice, Tomatoes, Corn Syrup, Salt, Spices, Onion Powder, Garlic, Powder, Citric Acid, Natural Flavors (Vegan), White Onion, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice, Garlic, Kosher Salt, Cumin"
Frary_Dinner_Amazing Maize Medley,Frary,Dinner,Grill Station,Amazing Maize Medley,85.05 FHP2,44.35,1.04,0.15,NA,0,64.85,8.52,1.42,2.2,NA,1.33,568.71,24.8,17.14,0.45,79.98,0,N/A,N/A,,"Zucchini, Corn, Red Onion, Green Bell Pepper, Red Bell Pepper, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Cilantro, Garlic, Chili Pepper, Salt, Spices, Silicon Dioxide (Added To Make Free Flowing), Garlic, Oregano, Kosher Salt, Black Pepper"
"Frary_Dinner_Tortilla 13""/Flour/Warmed",Frary,Dinner,Grill Station,"Tortilla 13""/Flour/Warmed",3924.00 FHP2,11879.9,288.022,107.91,0,0,25560.2,1980.05,180.112,36.1008,NA,324.122,0,0,7200.15,162.061,4.83E-08,4.83E-08,N/A,N/A,"Soy, Wheat","Flour Tortilla (Enriched Bleached Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Vegetable Shortening (Soybean Oil, Hydrogenated Soybean Oil), Contains 2 Or Less Of Each Of The Following: Salt, Leavening (Baking Soda, Sodium Aluminum Sulfate, Corn Starch, Monocalcium Phosphate And/Or Sodium Acid Pyrophosphate, Calcium Sulfate), Dough Conditioners (Fumaric Acid, Sodium Metabisulfite), Calcium Propionate And Sorbic Acid (To Preserve Freshness)."
Frary_Dinner_Salsa,Frary,Dinner,Grill Station,Salsa,59.00 GAL,12.16,0.13,0.02,NA,0,127.94,2.64,0.83,1.6,NA,0.57,580.05,12.47,8.25,0.2,10.06,0,N/A,N/A,,"Tomato, Jalapeno, Cilantro, White Onion, Garlic, Kosher Salt, Black Pepper, Oregano"
Frary_Dinner_Sour Cream SHT2,Frary,Dinner,Grill Station,Sour Cream SHT2,2910.75 SHT2,4366.13,388.004,242.466,0,1455.38,4366.13,194.147,0,96.9281,NA,96.9281,19405.1,0,3880.91,0,NA,NA,N/A,N/A,Milk,"Cultured Pasteurized Milk, Cream, Skim Milk, Modified Food Starch, Sodium Phosphate, Guar Gum, Calcium Sulfate, Carrageenan, Locust Bean Gum"
Frary_Dinner_Shredded Cheddar Cheese,Frary,Dinner,Grill Station,Shredded Cheddar Cheese,28.35 SHT4,111.38,9.11,5.06,0,30.37,182.25,1.01,0,0,NA,7.09,303.75,0,202.5,0,NA,NA,N/A,N/A,Milk,"Mild Cheddar Cheese (Cultured pasteurized milk, salt, enzymes, annatto (color)), Corn Starch, Potato Starch and Powdered cellulose (to prevent caking), Natamycin (natural mold inhibitor)"
Frary_Dinner_Guacamole,Frary,Dinner,Grill Station,Guacamole,91.00 SERV,111.81,9.58,1.39,NA,0,244.92,7.26,4.7,1.01,NA,1.55,406.8,10.17,14.65,0.5,16.72,0,N/A,N/A,,"Avocado, Avocado, Onion, Tomato, Cilantro, Lime Juice (Lime Juice From Concentrate (Water, Concentrated Lime Juice), Sodium Benzoate (Preservative), Lime Oil, Sodium Metabisulfite (Preservative)), Jalapeno, Kosher Salt, Black Pepper"
Frary_Dinner_Vegan Chili,Frary,Dinner,Soup Station,Vegan Chili,235.00 GAL,145.82,2.85,0.33,NA,NA,901.99,22.01,7.11,6.03,NA,8.32,3258.5,10.44,69.58,3.75,51.87,0,N/A,N/A,Soy,"Water, Diced Tomatoes, Tomato Juice, Sea Salt, Calcium Chloride, Citric Acid, Prepared Dark Red Kidney Beans, Water, Sugar, Salt, Calcium Chloride, And Disodium Edta For Color Retention, Soyrizo (Water, Textured Soy Protein (Soy Flour), Distilled Vinegar, Seasoning Blend (Spices, Salt, Dextrose, Paprika, Onion Powder, Garlic Powder) Soybean Oil, Caramel Color, Salt, Xanthan Gum, Extractives Of Paprika), Prepared Small White Beans, Water, Salt, Calcium Chloride And Disodium Edta For Color Retention, White Onion, Prepared Black Beans, Water, Salt, Calcium Chloride, (Firming Agent), Ferrous Gluconate, Carrot, Celery, Tomatoes, Vegetables And Vegetable Juice Concentrate (Carrots, Celery, Onion, Tomato) Salt, Soy Sauce (Water, Soybeans, Salt, Alcohol), Cane Sugar, Maltodextrin, Yeast Extract, Potato Starch, Onion Powder, Garlic Powder, Spice, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Garlic, Chili Pepper, Spices, Salt, Silicon Dioxide (Added To Make Free Flowing), And Garlic, Kosher Salt, Cumin, Black Pepper, Ground Cayenne Pepper, Bay Leaf"
Frary_Dinner_Avocado Citrus Salad,Frary,Dinner,Salad Bar,Avocado Citrus Salad,85.00 FHP4,54.18,3.14,0.45,NA,0,37.18,6.73,1.79,4.09,NA,0.95,2596.33,16.87,21.07,0.41,64.33,0,N/A,N/A,,"Mescaline Spring Mix, Grapefruit, Avocado, Orange, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Lemon Juice, Orange Juice, Organic Agave Syrup, Water, Citric Acid, Potassium Sorbate, Sodium Benzoate (Preservatives), Shallots, Kosher Salt, Black Pepper"
Frary_Dinner_Oreo Rice Krispy Bar,Frary,Dinner,Desserts,Oreo Rice Krispy Bar,60.00 EA,266.92,8.71,4.64,NA,11.29,125.88,44.33,0.91,23.39,NA,1.98,133.54,3.78,68.11,2.76,0,0,N/A,N/A,"Milk, Soy, Wheat","Marshmallos (Corn Syrup, Sugar, Modified Food Starch (Corn),Dextrose, Water, Gelatin, Natural and Artificial Flavor, Tetrasodium Pyrophosphate.Contains: Gelatin);Oreao Cookie Crumbs (Sugar, Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate Vitamin B1, Riboflavin Vitamin B2, Folic Acid), High Oleic Canola And/Or Palm Oil, Cocoa (Processed With Alkali), High Fructose Corn Syrup, Cornstarch, Leavening (Baking Soda And/Or Calcium Phosphate), Salt, Soy Lecithin, Vanillin - An Artificial Flavor, Chocolate.);Rice, sugar, contains 2% or less of salt, malt flavor.Vitamins and Minerals: Iron (ferric phosphate), vitamin C (ascorbic acid), vitamin E acetate, niacinamide, vitamin A palmitate, vitamin B6 (pyridoxine hydrochloride), vitamin B1 (thiamin hydrochloride), vitamin B2 (riboflavin), folic acid, vitamin B12, vitamin D3.;Sugar, chocolate liquor, cocoa butter, soya lecithin (an emulsifier), vanilla extract.;Unsalted Butter (Pasteurized Cream);Sugar; Nonfat Milk; Hydrogenated Vegetable Oil Palm Kernel Oil; Soybean Oil; Palm Oil; Palm Kernel Oil; Contains 2% Or Less Of: Cornstarch; Artificial Flavor; Salt; Lecithin (Soy).;Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Ethyl Vanillin.;"
Frary_Dinner_Brownie (BASE),Frary,Dinner,Desserts,Brownie (BASE),51.00 PCE,225.02,12.25,1.98,0.04,30.66,36.61,28.03,0.93,20.46,NA,2.54,44.5,0.2,22.77,0.92,8.3,0,N/A,N/A,"Egg, Soy, Wheat","Cane Sugar;Canola Oil;Egg;All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid);Sugar, chocolate liquor, cocoa butter, soya lecithin (an emulsifier), vanilla extract.;Natural Process Cocoa;Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid and Ethyl Vanillin.;Iodized Salt;"
Frary_Dinner_Vegan Coconut Cake,Frary,Dinner,Desserts,Vegan Coconut Cake,85.00 SHEE,255.35,9.36,4.63,NA,NA,278.4,41.3,1.24,35.53,NA,1.08,36.8,NA,0.99,0.23,5.49,0,N/A,N/A,"Soy, Wheat","Cane Sugar, Soy Milk (Filtered Water, Organic Whole Soybeans, Organic Naturally Milled Evaporated Cane Juice, Calcium Carbonate, Salt, Organic Vanilla Flavor, Vitamin A Palmitate, Carrageenan, Riboflavin (B2), Vitamin D2, Vitamin B12), Coconut, Sugar, Water, Propylene Glycol, Salt, Sodium Metabisulfite, Sugar, Cornstarch, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, All Purpose Flour (Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Partially Hydrogenated Soybean And Cottonseed Oils, Mono- And Diglycerides, Water, Alcohol (21%), Propylene Glycol, And Artificial Flavors, Water, Sodium Bicarbonate, Iodized Salt, Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid And Ethyl Vanillin, White Distilled Vinegar (Diluted With Water To 5% Acidity)"
Frary_Breakfast_Scrambled Eggs,Frary,Breakfast,Mainline,Scrambled Eggs,85.05 SHT4,117.65,7.55,2.73,0,301.16,115.15,0,0,0,NA,10.63,531.45,NA,70.86,1.92,0,0,N/A,N/A,Egg,"Cage Free Whole Eggs, Citric Acid, 0,15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frary_Breakfast_Scrambled Egg Whites,Frary,Breakfast,Mainline,Scrambled Egg Whites,85.00 SHT4,46.2,0,0,0,0,147.82,0,0,0,NA,9.24,0,0,0,0,0,0,N/A,N/A,Egg,"Egg Whites, Triethyl Citrate Added As A Whipping Agent"
Frary_Breakfast_Beyond Breafast Sausage (Coop),Frary,Breakfast,Mainline,Beyond Breafast Sausage (Coop),47.00 EA,130,10,4,0,0,210,1,1,0,NA,9,NA,NA,20,NA,105,NA,N/A,N/A,,"Water, Pea Protein, Expeller-Pressed Canola Oil, Refined Coconut Oil, Natural Flavors, Inactivated Yeast, Rice Protein, Methylcellulose, Yeast Extract niacin (Vitamin B3), pyridoxine hydrochloride (Vitamin B6), thiamin hydrochloride (Vitamin B1), riboflavin (Vitamin B2), folic acid (Vitamin B9), cyanocobalamin (Vitamin B12), Apple Extract, Salt, Pomegranate Extract, Vinegar, Lemon Juice Concentrate, Sunflower Lecithin, Beet Juice Extract (for color), Carrot."
Frary_Breakfast_Tofu Scramble,Frary,Breakfast,Mainline,Tofu Scramble,113.00 FHP2,72.83,3.93,0.41,NA,0,168.13,4.72,1.17,2.02,NA,6.26,395.09,21.1,109.65,1.46,0,0,N/A,N/A,Soy,"Tofu (Water, Soybeans, Calcium Sulfate), White Onion, Tomato, Green Bell Pepper, Red Bell Pepper, Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil, Seasoned Salt (Salt, Sugar, Maltodextrin, Chili Pepper, Onion, Garlic, Spices (Including Red Pepper), Spice And Coloring, Extractives Of Paprika, And Natural Flavor), Turmeric, Black Pepper"
"Frary_Breakfast_Sausage, Egg and Cheddar Scramble",Frary,Breakfast,Mainline,"Sausage, Egg and Cheddar Scramble",85.00 FHP2,151.92,11.07,4.35,0,272.19,183.67,0.13,0,0,NA,11.49,499.4,1.18,86.81,1.73,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Pork, Water, Salt, Spices, Sugar, Dextrose, Natural Flavorings, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Rice Bran Oil, Extra Virgin Olive Oil, Avocado Oil, Grapeseed Oil"
Frary_Breakfast_Hard Boiled Eggs EA,Frary,Breakfast,Mainline,Hard Boiled Eggs EA,44.00 EA,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Tater Tots,Frary,Breakfast,Mainline,Tater Tots,56.70 FHP2,102.86,5.14,1.29,0,0,212.14,12.21,1.29,0.64,NA,1.29,0,1.54,0,0.46,0,0,N/A,N/A,Soy,"Potatoes, Vegetable Oil (Contains One Or More Of The Following: Canola, Palm, Soybean, Sunflower), Salt, Corn Flour, Dehydrated Potato, Disodium Dihydrogen Pyrophosphate (To Promote Color Retention), Dextrose"
Frary_Breakfast_OMELET BAR/description,Frary,Breakfast,Expo Station,OMELET BAR/description,219.77 EA,503.93,38.17,15.09,0.02,572.15,885.25,2.41,0,0.6,NA,36.55,1364.75,0,439.53,3.4,0,0,N/A,N/A,"Egg, Milk","Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Mild Cheddar Cheese (Cultured Pasteurized Milk, Salt, Enzymes, Annatto (Color)), Corn Starch, Potato Starch And Powdered Cellulose (To Prevent Caking), Natamycin (Natural Mold Inhibitor), Smoked Ham (Solution Ingredients: Water, Salt, Turbinado Sugar, Natural Flavor, Lactic Acid Starter Culture (Not From Milk)), Turkey Breast, Turkey Broth, Honey, Salt, Brown Sugar, Potassium Lactate, Sodium Phosphate, Sodium Diacetate, Sodium Erythorbate, Sodium Nitrite, Pork Cured With Water, Salt, Sugar, Sodium Phosphates, Sodium Erythorbate, Sodium Nitrite, May Contain Honey, Canola Oil"
Frary_Breakfast_Fried Egg,Frary,Breakfast,Expo Station,Fried Egg,44.00 EA,62.92,4.18,1.38,0.02,163.68,62.48,0.32,0,0.16,NA,5.53,237.6,0,24.64,0.77,0,0,N/A,N/A,Egg,Egg
Frary_Breakfast_Frary`s Buttermilk Pancakes,Frary,Breakfast,Grill Station,Frary`s Buttermilk Pancakes,125.00 EA,214.36,1.57,0.52,NA,0,630.01,43.92,1.04,7.32,NA,5.23,0,0,64.7,1.88,0,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Water, Pancake Mix (Enriched Bleached Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid, May Contain Malted Barley Flour), Sugar, Dextrose, Soy Flour, Contains 2% Or Less Of The Following: Sodium Bicarbonate, Sodium Aluminum Phosphate, Monocalcium Phosphate, Canola Or Soybean Oil, Salt, Buttermilk, Food Starch-Modified, Sodium Stearoyl Lactylate)"
Frary_Breakfast_Cinnamon French Toast,Frary,Breakfast,Grill Station,Cinnamon French Toast,97.00 EA,170.85,3.52,1.18,NA,55.57,268.99,27.04,1.04,6.77,NA,6.97,133.36,0.36,77.87,1.78,0.04,0,N/A,N/A,"Egg, Milk, Soy, Wheat","Texas Toast (Enriched Wheat Flour (Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, High Fructose Corn Syrup, Contains 2% Or Less Of Each Of The Following: Yeast, Wheat Gluten, Soybean Oil, Salt, Sodium Stearoyl Lactylate , Monoglycerides, Calcium Sulfate, Calcium Peroxide, Soy Lecithin, Azodicarbonamide, Enzymes, Calcium Carbonate, Ammonium Sulfate, Calcium Propionate (To Preserve Freshness)), Milk, Vitamin D3, Cage Free Whole Eggs, Citric Acid, 0.15% Water Added As Carrier For Citric Acid, Citric Acid Added To Preserve Color, Cane Sugar, Water, Sugar, Propylene Glycol, Vanillin, Caramel Color, Potassium Sorbate, Citric Acid And Ethyl Vanillin, Cinnamon"
Frary_Breakfast_Syrup/Pancake,Frary,Breakfast,Grill Station,Syrup/Pancake,60.00 SHT4,220,0,0,0,0,190,56,0,32,NA,0,NA,NA,0,0,NA,NA,N/A,N/A,,"Corn Syrup, Water, High Fructose Corn Syrup, Contains 2% Or Less Of Salt, Natural And Artificial Flavors, Preservatives - Potassium Sorbate, Sodium Benzoate And Benzoic Acid, Caramel Color, Cellulose Gum"
Frary_Breakfast_Butter/Melted,Frary,Breakfast,Grill Station,Butter/Melted,60.00 SHT4,428.57,47.14,30,0,128.57,0,0,0,0,NA,0,1714.28,0,0,0,0,0,N/A,N/A,Milk,Unsalted Butter (Pasteurized Cream);
